"(Parent)","(الأصل)"
"Add Rule","إضافة قاعدة"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Add A/B Testing","إضافة اختبار A / B"
"Parent","الأصل"
"Edit Rule '%1'","تعديل القاعدة '%1'"
"New Rule","قاعدة جديدة"
"Rule Information","معلومات القاعدة"
"Actions","الاجراءات"
"Apply the rule only to block matching the following conditions (leave blank for all items).","تطبيق القاعدة فقط لمنع مطابقة الشروط التالية (ترك المساحة فارغة لجميع العناصر)."
"Apply To","تطبيق على"
"Block Configuration","إعداد صندوق الصفحات"
"Block name","اسم صندوق الصفحات"
"Enter the block's name. It's only visible in the frontend.","أدخل اسم صندوق الصفحات. انها مرئية فقط في الواجهة الأمامية."
"Product layout","تخطيط المنتج"
"Grid","شبكه"
"Slider","شريط التمرير"
"Select how products are displayed.","حدد كيفية عرض المنتجات."
"Limit number of products","الحد الاعلى من عدد المنتجات"
"Display ""Out-of-stock"" products","عرض المنتجات ""خارج المخزون"""
"Yes","نعم"
"No","لا"
"Product order","المنتجات المطلوبة"
"Display additional information","معلومات إضافية"
"Select information or button(s) to display with products.","حدد معلومات أو زر (أزرار) لعرضها مع المنتجات."
"Conditions","الشروط"
"Conditions (don't add conditions if rule is applied to all products)","الشروط (لا تضيف شروط إذا تم تطبيق القاعدة على جميع المنتجات)"
"Rule Name","اسم القاعدة"
"Enter the rule's name here, it's only visible in the backend.","أدخل اسم صندوق الصفحات. انها مرئية فقط في الواجهة الأمامية."
"Location","المكان"
"Select the position to display block.","حدد الموقف لعرض صندوق الصفحات."
"Status","الحالة"
"Active","مفعل"
"Inactive","غير نشط"
"Select Active to enable the rule.","اضغط على تفعيل لتفعيل القاعدة."
"Store Views","المشاهدات في المتجر"
"Customer Groups","المجاميع الخاصه بالعملاء"
"Select customer group(s) to display the block to","حدد مجموعة (مجموعات) العملاء لعرض صندوق الصفحات"
"From","من"
"Select the starting date when the rule is enabled.","حدد تاريخ البدء عند تفعيل القاعدة."
"To","إلى"
"Select the ending date when the rule is disabled.","حدد تاريخ الانتهاء عند تعطيل القاعدة."
"Priority","الأولوية"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","أدخل رقما لتحديد أولوية القاعدة أقل عدد يمثل أعلى أولوية."
"ID","رقم تسجيل"
"Name","الاسم"
"Name in %1","الاسم في %1"
"Type","النوع"
"Attribute Set","تعيين الميزة"
"SKU","وحدة حفظ المخزون"
"Price","السعر"
"Quantity","الكمية"
"Visibility","الظهور"
"Variant","النوع"
"Impression","مرات الظهور"
"Click","الضغطة"
"CTR","معدل الضغطات"
"Enabled","تمكين"
"Disabled","تعطيل"
"There are no items.","لا توجد مدوّنات."
"A/B Testing","إضافة اختبار A / B"
"Related Block Rule","حكم القاعدة ذات الصلة"
"Promotions","العروض الترويجية"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","وجدنا قواعد محدثة لا يتم تطبيقها. يرجى النقر على ""تطبيق القواعد"" لتحديث الكتالوج الخاص بك."
"An error occurred","حدث خطأ"
"AutoRelated","المتعلق الاوتوماتيمي"
"Manage Rules","إدارة القواعد"
"You deleted the rule.","لقد حذفت القاعدة."
"We can't delete this rule right now. Please review the log and try again.","لا يمكننا حذف هذه القاعدة في الوقت الحالي. يرجى مراجعة السجل وإعادة المحاولة."
"We can't find a rule to delete.","لا يمكن أن نجد قاعدة لحذفها."
"Something went wrong.","لقد حدث خطاء ما."
"This rule no longer exists.","هذا الملف لم يعد موجودا."
"Can not Add A/B Testing.","لا يمكن إضافة اختبار A / B."
"Edit Rule","تعديل القاعدة"
"New Related Block Rule","قاعدة حكم جديد ذات صلة"
"Related Block Rules","حكم القاعدة ذات الصلة"
"The wrong rule is specified.","يتم تحديد القاعدة الخاطئة."
"You saved the rule.","لقد حفظت القاعدة."
"Something went wrong while saving the rule data. Please review the error log.","حدث خطأ ما أثناء حفظ بيانات القاعدة. الرجاء مراجعة سجل الأخطاء."
"Add to cart button","عملية ""أضف إلى عربة التسوق"""
