"(Parent)","(Cha mẹ)"
"Add Rule","Thêm Quy tắc"
"Save and Continue Edit","Lưu và Tiếp tục Chỉnh sửa"
"Add A/B Testing","Thêm Thử nghiệm A / B"
"Parent","Cha mẹ"
"Edit Rule '%1'","Chỉnh sửa Quy tắc '%1'"
"New Rule","Quy tắc mới"
"Rule Information","Thông tin quy tắc"
"Actions","Hành động"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Chỉ áp dụng quy tắc để chặn phù hợp với các điều kiện sau (để trống cho tất cả các mục)."
"Apply To","Nộp đơn"
"Block Configuration","Cấu hình Khối"
"Block name","Tên chặn"
"Enter the block's name. It's only visible in the frontend.","Nhập tên của khối. Nó chỉ hiển thị trong giao diện người dùng."
"Product layout","Bố trí sản phẩm"
"Grid","Lưới điện"
"Slider","Thanh trượt"
"Select how products are displayed.","Chọn cách hiển thị sản phẩm."
"Limit number of products","Giới hạn số lượng sản phẩm"
"Display ""Out-of-stock"" products","Hiển thị sản phẩm ""Đã hết hàng"""
"Yes","Vâng"
"No","Không"
"Product order","Thứ tự sản phẩm"
"Display additional information","Hiển thị thông tin bổ sung"
"Select information or button(s) to display with products.","Chọn thông tin hoặc (các) nút để hiển thị với sản phẩm."
"Conditions","Điều kiện"
"Conditions (don't add conditions if rule is applied to all products)","Điều kiện (không thêm điều kiện nếu quy tắc được áp dụng cho tất cả các sản phẩm)"
"Rule Name","Tên quy tắc"
"Enter the rule's name here, it's only visible in the backend.","Nhập tên quy tắc ở đây, nó chỉ hiển thị trong phần phụ trợ."
"Location","Vị trí"
"Select the position to display block.","Chọn vị trí để hiển thị khối."
"Status","Trạng thái"
"Active","Hoạt động"
"Inactive","Không hoạt động"
"Select Active to enable the rule.","Chọn Hoạt động để bật quy tắc."
"Store Views","Số lượt xem cửa hàng"
"Customer Groups","Nhóm khách hàng"
"Select customer group(s) to display the block to","Chọn (các) nhóm khách hàng để hiển thị khối để"
"From","Từ"
"Select the starting date when the rule is enabled.","Chọn ngày bắt đầu khi quy tắc được bật."
"To","Đến"
"Select the ending date when the rule is disabled.","Chọn ngày kết thúc khi quy tắc bị tắt."
"Priority","Sự ưu tiên"
