"Allow remote shopping assistance","Allow remote shopping assistance"
"Approval System Registration Settings","Approval System Registration Settings"
"City","City"
"Company","Company"
"Country","Country"
"Custom Attributes","Custom Attributes"
"Custom Attributes Mapping","Custom Attributes Mapping"
"Customer Group","Customer Group"
"Customer Registration Add-on","Customer Registration Add-on"
"Customer Registration Settings","Customer Registration Settings"
"Date of Birth","Date of Birth"
"Default Registration Settings","Default Registration Settings"
"Email","Email"
"Email Settings","Email Settings"
"Fax","Fax"
"First Name","First Name"
"Gender","Gender"
"If customer is already registered he will be assigned to a new group","If customer is already registered he will be assigned to a new group"
"Last Name","Last Name"
"Look for entered email address among existing customers and block submission. Message to recover the password will be displayed","Look for entered email address among existing customers and block submission. Message to recover the password will be displayed"
"Map to custom attribute using field Code value","Map to custom attribute using field Code value"
"Middle Name/Initial","Middle Name/Initial"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Password","Password"
"Phone Number","Phone Number"
"Register Customer on Form Submission","Register Customer on Form Submission"
"Register Customer on Result Approval","Register Customer on Result Approval"
"Registration Form","Registration Form"
"Replace Registration Form","Replace Registration Form"
"Select web-form to replace default registration page.","Select web-form to replace default registration page."
"Send Customer Default Magento Notification","Send Customer Default Magento Notification"
"State/Province","State/Province"
"Street Line 1","Street Line 1"
"Street Line 2","Street Line 2"
"Tax/VAT Number","Tax/VAT Number"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"Unique Customer Email Address","Unique Customer Email Address"
"VAT Number","VAT Number"
"You can use the form notifications instead of default Magento new account notification","You can use the form notifications instead of default Magento new account notification"
"Zip/Postal Code","Zip/Postal Code"
