"(Parent)","(Induk)"
"Add Rule","Tambahkan Peraturan"
"Save and Continue Edit","Simpan dan Lanjutkan Ubah"
"Add A/B Testing","Tambahkan pengujian A/B"
"Parent","Induk"
"Edit Rule '%1'","Sunting aturan '%1'"
"New Rule","Aturan Baru"
"Rule Information","Informasi Aturan"
"Actions","Tindakan"
"Apply the rule only to block matching the following conditions (leave blank for all items).","Menerapkan aturan hanya untuk memblokir pencocokan kondisi berikut: (biarkan kosong untuk semua item)."
"Apply To","Menerapkan Untuk"
"Block Configuration","Konfigurasi Blok"
"Block name","Nama Blok"
"Enter the block's name. It's only visible in the frontend.","Masukkan blok nama. Itu hanya terlihat di frontend."
"Product layout","Tata letak produk"
"Grid","Grid"
"Slider","Slider"
"Select how products are displayed.","Pilih produk yang ditampilkan."
"Limit number of products","Membatasi jumlah produk"
"Display ""Out-of-stock"" products","Tampilan ""Out-of-stock"" produk"
"Yes","Iya"
"No","Tak"
"Product order","Pesanan produk"
"Display additional information","Menampilkan informasi tambahan"
"Select information or button(s) to display with products.","Pilih informasi atau tombol(s) untuk menampilkan dengan produk."
"Conditions","Kondisi"
"Conditions (don't add conditions if rule is applied to all products)","Kondisi (jangan menambahkan kondisi jika aturan ini diterapkan untuk semua produk)"
"Rule Name","Nama Aturan"
"Enter the rule's name here, it's only visible in the backend.","Memasukkan aturan nama di sini, itu hanya terlihat di backend."
"Location","Lokasi"
"Select the position to display block.","Pilih posisi untuk menampilkan blok."
"Status","Status"
"Active","Aktif"
"Inactive","Tidak aktif"
"Select Active to enable the rule.","Pilih Aktif untuk mengaktifkan aturan."
"Store Views","Tampilan toko"
"Customer Groups","Grup Pelanggan"
"Select customer group(s) to display the block to","Pilih kelompok pelanggan(s) untuk menampilkan blok untuk"
"From","Dari"
"Select the starting date when the rule is enabled.","Pilih tanggal awal ketika aturan diaktifkan."
"To","Untuk"
"Select the ending date when the rule is disabled.","Pilih tanggal berakhir ketika aturan keluarga."
"Priority","Prioritas"
"Enter a number to set priority for the rule. A lower number represents a higher priority.","Masukkan nomor untuk menentukan prioritas aturan. Angka yang lebih rendah merupakan prioritas yang lebih tinggi."
"ID","ID"
"Name","Nama"
"Name in %1","Nama di %1"
"Type","Jenis"
"Attribute Set","Pengaturan Atribut"
"SKU","SKU"
"Price","Harga"
"Quantity","Kuantitas"
"Visibility","Tampilan"
"Variant","Variasi"
"Impression","Kesan"
"Click","Klik"
"CTR","CTR"
"Enabled","Diaktifkan"
"Disabled","Nonaktifkan"
"There are no items.","Tidak ada barang."
"A/B Testing","Pengujian A/B"
"Related Block Rule","Aturan blok yang terkait"
"Promotions","Promosi"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Kami menemukan pembaruan aturan yang tidak diterapkan. Silahkan klik ""Terapkan Aturan"" untuk memperbarui katalog."
"An error occurred","Terjadi kesalahan"
"AutoRelated","AutoRelated"
"Manage Rules","Mengelola Aturan"
"You deleted the rule.","Anda dihapus aturan."
"We can't delete this rule right now. Please review the log and try again.","Kami tidak dapat menghapus aturan ini sekarang. Harap tinjau log dan coba lagi."
"We can't find a rule to delete.","Kami tidak bisa menemukan aturan untuk menghapus."
"Something went wrong.","Sesuatu yang tidak beres."
"This rule no longer exists.","Aturan ini tidak ada lagi."
"Can not Add A/B Testing.","Tidak dapat menambahkan pengujian A/B."
"Edit Rule","Ubah Aturan"
"New Related Block Rule","Aturan Terkait Blok Baru"
"Related Block Rules","Aturan Blok yang terkait"
"The wrong rule is specified.","Salah aturan yang ditentukan."
"You saved the rule.","Anda menyimpan peraturan."
"Something went wrong while saving the rule data. Please review the error log.","Sesuatu yang tidak beres saat menyimpan aturan data. Silahkan lihat kesalahan log."
"Add to cart button","Tambahkan ke tombol keranjang"
"Add to Wishlist","Tambahkan ke daftar keinginan"
"Add to Compare","Tambahkan untuk membandingkan"
"Review information","Mengulas informasi"
"Bestsellers","PenjualTerlaris"
"Lowest Price","Harga Terendah"
"Highest Price","Harga Tertinggi"
"Newest","Terbaru"
"Random","Acak"
"Subtotal","Subtotal"
"Total Items Quantity","Jumlah total barang"
"Total Weight","Jumlah berat"
"Quantity in cart","Jumlah dalam keranjang"
"Price in cart","Harga dalam keranjang"
"Row total in cart","Jumlah baris dalam keranjang"
"Conditions Combination","Ketentuan Kombinasi"
"Cart Item Attribute","Atribut barang keranjang"
"Product Attribute","Atribut produk"
"FOUND","DITEMUKAN"
"NOT FOUND","TIDAK DITEMUKAN"
"If an item is %1 in the cart with %2 of these conditions true:","Jika item adalah %1 dalam keranjang dengan %2 kondisi ini benar:"
"total quantity","jumlah total"
"total amount","jumlah total"
"is","adalah"
"is not","tidak"
"equals or greater than","sama atau lebih besar dari"
"equals or less than","sama atau kurang dari"
"greater than","lebih dari"
"less than","kurang dari"
"is one of","adalah salah satu"
"is not one of","bukan salah satunya"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Jika %1 %2 %3 untuk sub seleksi item dalam keranjang pencocokan %4 dari kondisi ini:"
"Product attribute combination","Kombinasi atribut produk"
"Products subselection","Subseleksi produk"
"Conditions combination","Kombinasi produk"
"Cart Attribute","Atribut keranjang"
"Replace native related product block","Menggantikan asli produk terkait blok"
"Before native related products","Sebelum terkait produk asli"
"After native related products","Setelah terkait produk asli"
"Replace upsell product block","Menggantikan blok produk penjualan"
"Before upsell products","Sebelum menjual produk"
"After upsell products","Setelah menjual produk"
"Above Content","Konten di atas"
"Below Content","Konten di Bawah"
"Custom","Penyesuaian"
"Product Page","Halaman produk"
"Category Page","Halaman Kategori"
"Shopping Cart Page","Halaman Keranjang Belanja"
"Category","Kategori"
"PREVIEW PRODUCTS","PRATINJAU PRODUK"
"Statistic","Statistik"
"Total","Total"
"Child","Anak"
"Add to Cart","Tambahkan ke Keranjang"
"In stock","Dalam persediaan"
"Out of stock","Persediaan telah habis"
"HIDE PRODUCTS","MENYEMBUNYIKAN PRODUK"
"Mageplaza AutoRelated","Mageplaza AutoRelated"
"Automatic Related Products","Produk yang terkait otomatis"
"General Configuration","Konfigurasi Umum"
"Enable Automatic Related Products","Aktifkan Produk Terkait Otomatis"
"Select Yes to enable this module.","Pilih Ya untuk mengaktifkan modul ini."
"Start","Mulai"
"End","Akhir"
