"(Parent)","(Szülő)"
"Add Rule","Szabály hozzáadása"
"Save and Continue Edit","Mentés és Folytatás Szerkesztés"
"Add A/B Testing","Add A / B tesztelés"
"Parent","Szülő"
"Edit Rule '%1'","Szabály szerkesztése ""%1"""
"New Rule","Új szabály"
"Rule Information","Szabályadatok"
"Actions","Hozzászólások"
"Apply the rule only to block matching the following conditions (leave blank for all items).","A szabályt csak az alábbi feltételeknek megfelelő blokkolásra alkalmazza (hagyja üresen az összes elemet)."
"Apply To","Vonatkoznak"
"Block Configuration","Blokk konfiguráció"
"Block name","Blokk neve"
"Enter the block's name. It's only visible in the frontend.","Adja meg a blokk nevét. Csak a frontenden látható."
"Product layout","Termék elrendezése"
"Grid","Rács"
"Slider","Slider"
"Select how products are displayed.","Válassza ki a termékek megjelenítésének módját."
"Limit number of products","Korlátozza a termékek számát"
"Display ""Out-of-stock"" products","Készítsen ""készleten kívüli"" termékeket"
"Yes","Igen"
"No","Nem"
"Product order","Termék rendelése"
"Display additional information","További információk megjelenítése"
"Select information or button(s) to display with products.","Válasszon információkat vagy gombokat a termékekhez."
"Conditions","Körülmények"
"Conditions (don't add conditions if rule is applied to all products)","Feltételek (ne adjon hozzá feltételeket, ha szabály vonatkozik minden termékre)"
"Rule Name","Szabálynév"
"Enter the rule's name here, it's only visible in the backend.","Adja meg itt a szabály nevét, ez csak a háttérben látható."
"Location","Elhelyezkedés"
"Select the position to display block.","Válassza ki a blokk megjelenítésének pozícióját."
"Status","Állapot"
"Active","Aktív"
"Inactive","tétlen"
"Select Active to enable the rule.","A szabály engedélyezéséhez válassza az Aktív lehetőséget."
"Store Views","Nézetek tárolása"
"Customer Groups","Ügyfélcsoportok"
"Select customer group(s) to display the block to","Válassza ki az ügyfélcsoport (oka) t, hogy megjelenítse a blokkot"
"From","Tól től"
"Select the starting date when the rule is enabled.","Válassza ki a kezdő dátumot, amikor a szabály engedélyezve van."
"To","Nak nek"
"Select the ending date when the rule is disabled.","Válassza ki a záródási dátumot, amikor a szabály letiltásra kerül."
"Priority","Kiemelten fontos"
